pattern,question,ground_truth,predicted_answer,answer_correctness,faithfulness,llm_judge_score,retrieval_mode
Pattern_5,"Who owns Romano's Bakery, and how is this person related to Isabella Romano?","[""Rosa Romano owns/founded Romano's Family Bakery in 1963. Isabella Romano is her granddaughter who lives with her.""]",Romano's Bakery è di proprietà di Rosa Romano. Isabella Romano è sua nipote.,0.3529,0.4615,1.0,rhoai_autorag
Pattern_5,"Dr. Okafor treated a patient in the emergency department. What was the patient's condition, and what is Dr. Okafor's relationship to the patient?","[""Dr. Kwame Okafor (pediatrician) treated Emmanuel Okafor for acute appendicitis. Emmanuel is Dr. Okafor's son.""]","Dr. Okafor a trata um paciente no departamento de emergência. A condição do paciente era de dor abdominal aguda, e Dr. Okafor é o pai do paciente, Emmanuel Okafor.",0.3333,0.2963,0.8,rhoai_autorag
Pattern_5,There are two bakeries mentioned in the documents. What are their names and who runs them ?,"[""Al-Rashid Mediterranean Bakery (run by Ahmed Al-Rashid) and Romano's Family Bakery (founded by Rosa Romano in 1963)""]","Los nombres de las panaderías mencionadas en los documentos son Al-Rashid Mediterranean Bakery y Romano's Family Bakery. La primera es propiedad de Ahmed Al-Rashid, mientras que la segunda es propiedad de la familia Romano, específicamente de Rosa Romano.",0.5882,0.2632,0.8,rhoai_autorag
Pattern_5,"What significant infrastructure event happened in Millbrook in 1963, and how does it relate to current events in 2024?","['Bridge 7 was constructed in 1963 (same year Rosa Romano founded her bakery). In 2024, this bridge requires major structural repairs due to deterioration.']","According to the provided documents, in 1963, Bridge 7 in Millbrook was constructed. This bridge is currently facing its most significant structural challenge since its construction in 1963. The bridge's critical infrastructure failure has led to a collaborative effort from community leaders, engineers, and city officials to minimize disruption and ensure the bridge's stability. The current events in 2024 are directly related to the bridge's structural issues, which were identified by Sofia Okafor's engineering firm.",0.5,0.6377,0.8,rhoai_autorag
Pattern_5,"How long has Ahmed Al-Rashid been operating his bakery, and what was his career before opening it?","['Al-Rashid has been operating his bakery for 30 years (opened 1994, document dated 2024). Before that, he worked in construction after immigrating in 1989.']","Ahmed Al-Rashid telah mengoperasikan bakery-nya selama 30 tahun. Sebelum membuka bakery, ia bekerja di konstruksi setelah imigrasi ke Millbrook pada tahun 1989.",0.1667,0.2273,0.8,rhoai_autorag
Pattern_5,"When did Dr. Elena Vasquez assume her current role as Hospital Director, and how long had she been at the hospital before that promotion?","['She became Hospital Director in January 2020. She had been at Millbrook General since 2006, so 14 years before her promotion']","Dr. Elena Vasquez assumed her current role as Hospital Director in January 2020. Before that promotion, she had been at the hospital for 14 years, starting as an attending cardiologist in 2006.",0.7143,0.5333,1.0,rhoai_autorag
Pattern_5,"What is the current load capacity of Bridge 7, and are there any restrictions in place?","['The current load rating is 25 tons (reduced from original 40 tons), but there are temporary 15-ton restrictions due to safety concerns.']","A current load capacity of Bridge 7 is 25 tons, which is reduced from the original 40 tons. There are no restrictions explicitly mentioned in the provided documents, but the bridge's structural integrity is compromised, and a catastrophic failure is projected within 8-14 months without intervention.",0.6667,0.4634,0.6,rhoai_autorag
Pattern_5,"How much time will be added to emergency response times due to the bridge construction, and how has this actually affected hospital operations ?","[""The engineering report projects +4.7 minutes average response time, but the newspaper reports actual increases have been 'minimal' due to proactive routing strategies.""]","Emergency response times will be increased by approximately 4.7 minutes due to the bridge construction. This is because alternative routes have been established to ensure emergency vehicle access to the hospital. According to Dr. Vasquez, this could be critical for patients with cardiac conditions. However, thanks to proactive routing strategies, response time increases have been minimal.",0.619,0.6111,0.8,rhoai_autorag
Pattern_5,What is the projected economic impact of the bridge construction on local businesses?,"['Two different measures are given: $47,000 per day economic loss (from detour costs), and 25-35% reduction in foot traffic for Historic Downtown businesses.']","O acordo de impacto econômico da construção da ponte sobre as empresas locais é de $47.000 por dia de fechamento, com base nos custos de desvio e no impacto nos negócios.",0.0435,0.0323,0.8,rhoai_autorag
Pattern_5,What happened to Isabella Romano's parents?,"[""The documents indicate Isabella's parents are deceased but do not provide details about what happened to them.""]","Non ho una risposta diretta al tuo quesito, ma posso dire che i documenti forniscono alcune informazioni sulla famiglia di Isabella Romano. Sembra che sua nonna, Rosa Romano, sia ancora viva e che Isabella la tenga molto cara. Tuttavia, non ci sono menzioni esplicite dei genitori di Isabella.",0.0,0.1667,0.8,rhoai_autorag
