pattern_id,question_idx,question,answer,ground_truth,llm_judge,has_citations,is_multilingual
Pattern1,0,"Who owns Romano's Bakery, and how is this person related to Isabella Romano?",La persona que posee Romano's Bakery es Rosa Romano. Ella es la abuela de Isabella Romano.,Rosa Romano owns/founded Romano's Family Bakery in 1963. Isabella Romano is her granddaughter who lives with her.,0.8,False,False
Pattern1,1,"Dr. Okafor treated a patient in the emergency department. What was the patient's condition, and what is Dr. Okafor's relationship to the patient?","The patient's condition was acute onset abdominal pain, and the attending physician, Dr. Kwame Okafor, suspected appendicitis. Dr. Okafor is the father of the patient, Emmanuel Okafor.",Dr. Kwame Okafor (pediatrician) treated Emmanuel Okafor for acute appendicitis. Emmanuel is Dr. Okafor's son.,0.8,False,False
Pattern1,2,There are two bakeries mentioned in the documents. What are their names and who runs them ?,"Los nombres de las dos panaderías mencionadas en los documentos son Al-Rashid Mediterranean Bakery y Romano's Family Bakery. La primera es propiedad de Ahmed Al-Rashid, mientras que la segunda es propiedad de la familia Romano, específicamente de la abuela de Isabella Romano, Rosa Romano.",Al-Rashid Mediterranean Bakery (run by Ahmed Al-Rashid) and Romano's Family Bakery (founded by Rosa Romano in 1963),0.8,False,True
Pattern1,3,"What significant infrastructure event happened in Millbrook in 1963, and how does it relate to current events in 2024?","According to the provided documents, the significant infrastructure event that happened in Millbrook in 1963 is the construction of Bridge 7. The bridge is currently facing its most significant structural challenge since its construction in 1963, as mentioned in the newspaper article ""Community Rallies Around Bridge Crisis"" from The Millbrook Herald on November 2, 2024. This event is directly related to the current events in 2024, where the community is rallying around the bridge crisis and working together to minimize disruption and find solutions to the structural deficiencies in the eastern support pylons.","Bridge 7 was constructed in 1963 (same year Rosa Romano founded her bakery). In 2024, this bridge requires major structural repairs due to deterioration.",0.8,False,False
Pattern1,4,"How long has Ahmed Al-Rashid been operating his bakery, and what was his career before opening it?","Ahmed Al-Rashid ha estado operando su panadería durante 30 años. Antes de abrir la panadería, trabajó en la construcción.","Al-Rashid has been operating his bakery for 30 years (opened 1994, document dated 2024). Before that, he worked in construction after immigrating in 1989.",0.8,False,True
Pattern1,5,"When did Dr. Elena Vasquez assume her current role as Hospital Director, and how long had she been at the hospital before that promotion?","Dr. Elena Vasquez assumed her current role as Hospital Director in January 2020. She had been at the hospital since 2006, initially as an attending cardiologist.","She became Hospital Director in January 2020. She had been at Millbrook General since 2006, so 14 years before her promotion",0.8,False,False
Pattern1,6,"What is the current load capacity of Bridge 7, and are there any restrictions in place?","The current load capacity of Bridge 7 is 25 tons, which is reduced from the original 40 tons. There are load restrictions in place, with a maximum vehicle weight of 15 tons, as part of the Phase 1 emergency stabilization plan.","The current load rating is 25 tons (reduced from original 40 tons), but there are temporary 15-ton restrictions due to safety concerns.",0.8,False,False
Pattern1,7,"How much time will be added to emergency response times due to the bridge construction, and how has this actually affected hospital operations ?","Según el documento, la Dra. Elena Vasquez expresó preocupaciones sobre el acceso de vehículos de emergencia. Se recomendó establecer rutas alternativas a través de University Heights, lo que agregaría aproximadamente 4,7 minutos a los tiempos de respuesta. Sin embargo, Rebecca Martinez, quien gestiona los servicios de emergencia en el hospital, confirmó que los aumentos en los tiempos de respuesta han sido mínimos gracias a las estrategias de enrutamiento proactivas.","The engineering report projects +4.7 minutes average response time, but the newspaper reports actual increases have been 'minimal' due to proactive routing strategies.",0.8,False,True
Pattern1,8,What is the projected economic impact of the bridge construction on local businesses?,"The projected economic impact of the bridge construction on local businesses is a reduction of 25-35% in foot traffic, according to Ahmed Al-Rashid and other Historic Downtown business owners.","Two different measures are given: $47,000 per day economic loss (from detour costs), and 25-35% reduction in foot traffic for Historic Downtown businesses.",0.8,False,False
Pattern1,9,What happened to Isabella Romano's parents?,Não tenho informações sobre o que aconteceu com os pais de Isabella Romano.,The documents indicate Isabella's parents are deceased but do not provide details about what happened to them.,0.8,False,True
Pattern1,10,Why did Sofia Okafor move from Texas to Millbrook to start her engineering firm?,I do not have an answer.,"The documents indicate Sofia has a Texas PE license and founded her firm in Millbrook in 2018, but do not explain the reason for relocating.",0.2,False,False
Pattern1,11,What architectural projects has Miguel Vasquez (Elena's husband) worked on in Millbrook?,No tengo una respuesta.,"Miguel Vasquez is identified as an architect and Elena's husband, but no specific projects in Millbrook are mentioned in the documents.",0.6,False,False
Pattern1,12,What does Sofia Okafor's PE license enable her to do professionally?,"Sofia Okafor's PE (Professional Engineer) license enables her to practice engineering in her state. As a licensed Professional Engineer, she is qualified to sign and seal engineering plans and documents, which is a requirement for many engineering projects. This license also signifies that she has met the necessary education, experience, and examination requirements to practice engineering in her field.",Sofia's PE (Professional Engineer) license #89472 enables her to practice engineering and stamp engineering documents in Texas (she also has a California PE license #67821).,0.8,False,False
Pattern1,13,"In the medical record, what does 'attending physician' refer to, and how does this differ from meeting attendance mentioned elsewhere?","Nel documento, ""attending physician"" si riferisce al medico di base che segue il paziente durante il suo trattamento. Questo medico è responsabile della cura del paziente e coordina le attività dei diversi professionisti sanitari coinvolti nel suo trattamento.

La differenza tra ""attending physician"" e ""meeting attendance"" è che il primo si riferisce alla figura professionale di un medico che segue un paziente, mentre il secondo si riferisce alla partecipazione di qualcuno a una riunione.","Attending physician refers to Dr. Kwame Okafor's role as the supervising doctor responsible for patient care, not meeting attendance. This is standard medical terminology.",0.8,False,True
Pattern1,14,What type of 'code-switching' is mentioned in the documents?,"The documents mention bilingual abilities and language use in the context of code-switching. Specifically, it is mentioned that Carmen Vasquez's bilingual abilities have been valuable in peer tutoring sessions with Spanish-speaking students. This suggests that Carmen is able to switch between English and Spanish, likely for communication purposes.","Linguistic code-switching - the practice of alternating between languages within conversations, as shown in the bakery conversation transcript.",0.4,False,False
