mode,question,predicted,correct_answers,answer_correctness,faithfulness,llm_judge_score
bm25,"Who owns Romano's Bakery, and how is this person related to Isabella Romano?",Rosa Romano owns Romano's Bakery. She is Isabella Romano's grandmother.,"[""Rosa Romano owns/founded Romano's Family Bakery in 1963. Isabella Romano is her granddaughter who lives with her.""]",0.25,1.0,0.8
bm25,"Dr. Okafor treated a patient in the emergency department. What was the patient's condition, and what is Dr. Okafor's relationship to the patient?","The patient's condition was acute appendicitis, uncomplicated. Dr. Okafor is the patient's father.","[""Dr. Kwame Okafor (pediatrician) treated Emmanuel Okafor for acute appendicitis. Emmanuel is Dr. Okafor's son.""]",0.2105263157894736,1.0,0.8
bm25,There are two bakeries mentioned in the documents. What are their names and who runs them ?,"The two bakeries mentioned in the documents are:

1. **Al-Rashid Mediterranean Bakery**: This bakery is owned by Ahmed Al-Rashid.
2. **Romano's Family Bakery**: This bakery was founded by Rosa Romano in 1963, and it is still run by her family, with Isabella Romano being a part of it.","[""Al-Rashid Mediterranean Bakery (run by Ahmed Al-Rashid) and Romano's Family Bakery (founded by Rosa Romano in 1963)""]",0.2,1.0,0.8
bm25,"What significant infrastructure event happened in Millbrook in 1963, and how does it relate to current events in 2024?","According to the provided context, in 1963, Bridge 7 was constructed in Millbrook. In 2024, the bridge is facing its most significant structural challenge since its construction in 1963, with a critical infrastructure failure identified by Sofia Okafor's engineering firm.","['Bridge 7 was constructed in 1963 (same year Rosa Romano founded her bakery). In 2024, this bridge requires major structural repairs due to deterioration.']",0.1702127659574468,1.0,0.8
bm25,"How long has Ahmed Al-Rashid been operating his bakery, and what was his career before opening it?","Ahmed Al-Rashid has been operating his bakery for 30 years, as it was established in 1994. Before opening the bakery, he initially worked in construction after immigrating to Millbrook in 1989.","['Al-Rashid has been operating his bakery for 30 years (opened 1994, document dated 2024). Before that, he worked in construction after immigrating in 1989.']",0.4444444444444444,1.0,0.8
bm25,"When did Dr. Elena Vasquez assume her current role as Hospital Director, and how long had she been at the hospital before that promotion?","According to Document 3: PROFILE: Dr. Elena Vasquez, Dr. Vasquez assumed her current role as Hospital Director in January 2020. She had been at the hospital since 2006, which means she was at the hospital for 14 years before her promotion to Hospital Director.","['She became Hospital Director in January 2020. She had been at Millbrook General since 2006, so 14 years before her promotion']",0.4102564102564102,1.0,1.0
bm25,"What is the current load capacity of Bridge 7, and are there any restrictions in place?","According to Document 1, the current load-bearing capacity of Bridge 7 has degraded to 65% of its original design specifications. Additionally, a load restriction of 15-ton maximum vehicle weight has been implemented as part of the emergency stabilization phase.","['The current load rating is 25 tons (reduced from original 40 tons), but there are temporary 15-ton restrictions due to safety concerns.']",0.1224489795918367,1.0,0.8
bm25,"How much time will be added to emergency response times due to the bridge construction, and how has this actually affected hospital operations ?","According to Document 4 (Okafor Engineering Solutions Report), the estimated increase in emergency response times due to the bridge construction is +4.7 minutes.","[""The engineering report projects +4.7 minutes average response time, but the newspaper reports actual increases have been 'minimal' due to proactive routing strategies.""]",0.1621621621621621,1.0,0.8
bm25,What is the projected economic impact of the bridge construction on local businesses?,"According to Document 3 (Okafor Engineering Solutions Report ID: OES-2024-MB7-FINAL), the economic loss per day of closure is estimated to be $47,000, based on detour costs and business impact.","['Two different measures are given: $47,000 per day economic loss (from detour costs), and 25-35% reduction in foot traffic for Historic Downtown businesses.']",0.1333333333333333,1.0,0.8
bm25,What happened to Isabella Romano's parents?,Isabella Romano's parents are deceased.,"[""The documents indicate Isabella's parents are deceased but do not provide details about what happened to them.""]",0.1,1.0,0.8
