pattern_id,question_idx,question,answer,ground_truth,llm_judge,has_citations,is_multilingual
Pattern5,0,"Who owns Romano's Bakery, and how is this person related to Isabella Romano?","According to Document 1, Isabella Romano's grandmother, Rosa Romano, founded Romano's Family Bakery in 1963. This indicates that Rosa Romano is the owner of Romano's Bakery.

Rosa Romano is Isabella's grandmother, as stated in Document 1: ""Lives with grandmother Rosa Romano (89), parents deceased."" This establishes the relationship between Rosa Romano and Isabella Romano.",Rosa Romano owns/founded Romano's Family Bakery in 1963. Isabella Romano is her granddaughter who lives with her.,0.8,False,False
Pattern5,1,"Dr. Okafor treated a patient in the emergency department. What was the patient's condition, and what is Dr. Okafor's relationship to the patient?","According to Document 1, the patient's condition was acute onset abdominal pain, which was later assessed as acute appendicitis, uncomplicated [1]. The patient's name is Emmanuel Okafor, and he is the son of Dr. Kwame Okafor, who is his attending physician [1]. This indicates that Dr. Okafor has a professional relationship with his son, as well as a personal one as a parent.",Dr. Kwame Okafor (pediatrician) treated Emmanuel Okafor for acute appendicitis. Emmanuel is Dr. Okafor's son.,0.8,True,False
Pattern5,2,There are two bakeries mentioned in the documents. What are their names and who runs them ?,"According to the documents, there are two bakeries mentioned. 

The first bakery is Al-Rashid Mediterranean Bakery, which is owned by Ahmed Al-Rashid [1]. 

The second bakery is Romano's Family Bakery, which was founded by Rosa Romano in 1963 [2].",Al-Rashid Mediterranean Bakery (run by Ahmed Al-Rashid) and Romano's Family Bakery (founded by Rosa Romano in 1963),1.0,True,False
Pattern5,3,"What significant infrastructure event happened in Millbrook in 1963, and how does it relate to current events in 2024?","According to Document 1, Bridge 7 in Millbrook faces its most significant structural challenge since its construction in 1963. However, the document does not specify what significant infrastructure event occurred in 1963. 

Document 2 does not provide any information about a significant infrastructure event in 1963.

Document 3 mentions that Bridge 7 over Millbrook Creek requires immediate attention due to structural deficiencies in the eastern support pylons, but it does not provide any information about a significant infrastructure event in 1963.

Therefore, I do not have enough information to answer the question about the significant infrastructure event that happened in Millbrook in 1963 and how it relates to current events in 2024.","Bridge 7 was constructed in 1963 (same year Rosa Romano founded her bakery). In 2024, this bridge requires major structural repairs due to deterioration.",0.6,False,False
Pattern5,4,"How long has Ahmed Al-Rashid been operating his bakery, and what was his career before opening it?","According to Document 1, Ahmed Al-Rashid has been operating his bakery, Al-Rashid Mediterranean Bakery, since 1994 [1]. Before opening the bakery, Al-Rashid initially worked in construction after immigrating to Millbrook in 1989 [1].","Al-Rashid has been operating his bakery for 30 years (opened 1994, document dated 2024). Before that, he worked in construction after immigrating in 1989.",1.0,True,False
Pattern5,5,"When did Dr. Elena Vasquez assume her current role as Hospital Director, and how long had she been at the hospital before that promotion?","According to Document 1, Dr. Elena Vasquez assumed her current role as Hospital Director in January 2020. 

Before her promotion to Hospital Director, Dr. Vasquez had been working at Millbrook General Hospital since 2006, when she joined as an attending cardiologist. This means she had been at the hospital for approximately 14 years before becoming the Hospital Director. [1]","She became Hospital Director in January 2020. She had been at Millbrook General since 2006, so 14 years before her promotion",0.8,True,False
Pattern5,6,"What is the current load capacity of Bridge 7, and are there any restrictions in place?","According to Document 1, the load-bearing capacity of Bridge 7 has degraded to 65% of its original design specifications due to foundation settlement and material fatigue [1]. This indicates that the current load capacity of Bridge 7 is 65% of its original capacity.

Regarding restrictions in place, Document 2 mentions that Dr. Vasquez at Millbrook General Hospital has expressed concerns about emergency vehicle access during construction. However, it does not explicitly state any restrictions in place. Instead, it recommends establishing alternative routes through University Heights, which would add approximately 4.7 minutes to response times [2].","The current load rating is 25 tons (reduced from original 40 tons), but there are temporary 15-ton restrictions due to safety concerns.",0.6,True,False
Pattern5,7,"How much time will be added to emergency response times due to the bridge construction, and how has this actually affected hospital operations ?","According to Document 2, Dr. Elena Vasquez expressed concerns about emergency vehicle access due to the bridge construction. She mentioned that the alternative route through University Heights would add approximately 4.7 minutes to response times [2]. However, Document 2 also states that thanks to proactive routing strategies, response time increases have been minimal [2]. This suggests that while there may be some delay, it has not significantly affected hospital operations.","The engineering report projects +4.7 minutes average response time, but the newspaper reports actual increases have been 'minimal' due to proactive routing strategies.",0.8,True,False
Pattern5,8,What is the projected economic impact of the bridge construction on local businesses?,"According to Document 1, Ahmed Al-Rashid and other Historic Downtown business owners have requested economic impact mitigation strategies. Reduced foot traffic could affect businesses by 25-35% during construction [1]. This information suggests that the bridge construction may have a significant economic impact on local businesses in the Historic Downtown area.

It's worth noting that Document 3 provides additional context on the community's response to the bridge crisis, including the establishment of a ""Bridge Support Network"" to provide discounted meals for construction workers. However, this information does not provide a specific estimate of the economic impact on local businesses.

References:
[1] Document 1: URGENT - Bridge 7 Structural Assessment Update","Two different measures are given: $47,000 per day economic loss (from detour costs), and 25-35% reduction in foot traffic for Historic Downtown businesses.",0.8,True,False
Pattern5,9,What happened to Isabella Romano's parents?,"According to Document 1, Isabella Romano lives with her grandmother Rosa Romano (89) and her parents are deceased [1].",The documents indicate Isabella's parents are deceased but do not provide details about what happened to them.,0.8,True,False
